Halb,engine_type,map_model,Vehicle_Type,Month,total_demand
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/07/2024,0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/08/2024,0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/09/2024,0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/10/2024,0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/11/2024,10
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/12/2024,0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/01/2025,0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/02/2025,10
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/03/2025,16
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,01/04/2023,0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,01/05/2023,0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,01/06/2023,0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,01/07/2023,0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,01/08/2023,0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,01/09/2023,0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,01/10/2023,0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,01/11/2023,0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,01/12/2023,0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,01/01/2024,0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,01/02/2024,0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,01/03/2024,0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,01/04/2024,0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,01/05/2024,0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,01/06/2024,0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,01/07/2024,0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,01/08/2024,0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,01/09/2024,0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,01/10/2024,0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,01/11/2024,0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,01/12/2024,0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,01/01/2025,0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,01/02/2025,0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,01/03/2025,0
80206319,E483_BS3_DSL,10.60G P/stg with MRF tyres,Bus,01/04/2023,0
80206319,E483_BS3_DSL,10.60G P/stg with MRF tyres,Bus,01/05/2023,0
80206319,E483_BS3_DSL,10.60G P/stg with MRF tyres,Bus,01/06/2023,0
80206319,E483_BS3_DSL,10.60G P/stg with MRF tyres,Bus,01/07/2023,0
80206319,E483_BS3_DSL,10.60G P/stg with MRF tyres,Bus,01/08/2023,0
80206319,E483_BS3_DSL,10.60G P/stg with MRF tyres,Bus,01/09/2023,0
80206319,E483_BS3_DSL,10.60G P/stg with MRF tyres,Bus,01/10/2023,0
80206319,E483_BS3_DSL,10.60G P/stg with MRF tyres,Bus,01/11/2023,0
80206319,E483_BS3_DSL,10.60G P/stg with MRF tyres,Bus,01/12/2023,0
80206319,E483_BS3_DSL,10.60G P/stg with MRF tyres,Bus,01/01/2024,0
80206319,E483_BS3_DSL,10.60G P/stg with MRF tyres,Bus,01/02/2024,0
80206319,E483_BS3_DSL,10.60G P/stg with MRF tyres,Bus,01/03/2024,0
80206319,E483_BS3_DSL,10.60G P/stg with MRF tyres,Bus,01/04/2024,0
80206319,E483_BS3_DSL,10.60G P/stg with MRF tyres,Bus,01/05/2024,0
80206319,E483_BS3_DSL,10.60G P/stg with MRF tyres,Bus,01/06/2024,0
80206319,E483_BS3_DSL,10.60G P/stg with MRF tyres,Bus,01/07/2024,0
80206319,E483_BS3_DSL,10.60G P/stg with MRF tyres,Bus,01/08/2024,0
80206319,E483_BS3_DSL,10.60G P/stg with MRF tyres,Bus,01/09/2024,0
80206319,E483_BS3_DSL,10.60G P/stg with MRF tyres,Bus,01/10/2024,0
80206319,E483_BS3_DSL,10.60G P/stg with MRF tyres,Bus,01/11/2024,0
80206319,E483_BS3_DSL,10.60G P/stg with MRF tyres,Bus,01/12/2024,0
80206319,E483_BS3_DSL,10.60G P/stg with MRF tyres,Bus,01/01/2025,0
80206319,E483_BS3_DSL,10.60G P/stg with MRF tyres,Bus,01/02/2025,0
80206319,E483_BS3_DSL,10.60G P/stg with MRF tyres,Bus,01/03/2025,0
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,01/04/2023,0
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,01/05/2023,0
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,01/06/2023,0
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,01/07/2023,0
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,01/08/2023,0
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,01/09/2023,0
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,01/10/2023,0
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,01/11/2023,0
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,01/12/2023,0
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,01/01/2024,0
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,01/02/2024,15
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,01/03/2024,0
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,01/04/2024,0
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,01/05/2024,5
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,01/06/2024,0
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,01/07/2024,0
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,01/08/2024,0
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,01/09/2024,0
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,01/10/2024,0
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,01/11/2024,0
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,01/12/2024,0
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,01/01/2025,0
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,01/02/2025,0
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,01/03/2025,0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/04/2023,0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/05/2023,0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/06/2023,0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/07/2023,0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/08/2023,0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/09/2023,0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/10/2023,0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/11/2023,0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/12/2023,0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/01/2024,0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/02/2024,0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/03/2024,0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/04/2024,0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/05/2024,0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/06/2024,0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/07/2024,0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/08/2024,0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/09/2024,0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/10/2024,0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/11/2024,0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/12/2024,0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/01/2025,0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/02/2025,0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,01/03/2025,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,01/04/2023,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,01/05/2023,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,01/06/2023,20
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,01/07/2023,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,01/08/2023,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,01/09/2023,10
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,01/10/2023,10
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,01/11/2023,40
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,01/12/2023,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,01/01/2024,7
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,01/02/2024,33
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,01/03/2024,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,01/04/2024,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,01/05/2024,5
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,01/06/2024,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,01/07/2024,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,01/08/2024,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,01/09/2024,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,01/10/2024,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,01/11/2024,25
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,01/12/2024,20
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,01/01/2025,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,01/02/2025,35
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,01/03/2025,46
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,01/04/2023,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,01/05/2023,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,01/06/2023,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,01/07/2023,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,01/08/2023,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,01/09/2023,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,01/10/2023,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,01/11/2023,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,01/12/2023,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,01/01/2024,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,01/02/2024,0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,01/03/2024,0
